iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"06-Jan-2017"
Total Net Assets,"$12,348,359,110"
Shares Outstanding,"270,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ADBE","ADOBE SYSTEM INC","Equity","0.4848","108.30","552,551","$59,841,273","59,841,273.30","Information Technology","2008154","US00724F1012","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.4834","57.13","1,044,365","$59,664,572","59,664,572.45","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","0.4767","825.21","71,303","$58,839,949","58,839,948.63","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.4759","53.13","1,105,639","$58,742,600","58,742,600.07","Industrials","2325507","US3021301094","NASDAQ"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.4611","129.34","440,014","$56,911,411","56,911,410.76","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.4240","611.38","85,601","$52,334,739","52,334,739.38","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.4216","71.08","732,092","$52,037,099","52,037,099.36","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.4184","67.07","770,082","$51,649,400","51,649,399.74","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.4148","257.85","198,581","$51,204,111","51,204,110.85","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.4140","38.45","1,329,220","$51,108,509","51,108,509.00","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.4036","141.81","351,300","$49,817,853","49,817,853.00","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.3983","68.45","718,318","$49,168,867","49,168,867.10","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.3979","74.15","662,322","$49,111,176","49,111,176.30","Industrials","2116228","US12541W2098","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.3947","36.48","1,335,525","$48,719,952","48,719,952.00","Information Technology","2463247","US4581401001","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.3805","91.84","511,387","$46,965,782","46,965,782.08","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"HSIC","HENRY SCHEIN INC","Equity","0.3797","156.18","300,113","$46,871,648","46,871,648.34","Health Care","2416962","US8064071025","NASDAQ"
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.3709","233.74","195,890","$45,787,329","45,787,328.60","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.3697","149.44","305,349","$45,631,355","45,631,354.56","Consumer Staples","2170473","US21036P1084","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.3643","22.15","2,030,390","$44,973,139","44,973,138.50","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.3584","236.73","186,896","$44,243,890","44,243,890.08","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.3580","147.27","300,079","$44,192,634","44,192,634.33","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"MAC","MACERICH REIT","Equity","0.3539","72.69","601,034","$43,689,161","43,689,161.46","Real Estate","2543967","US5543821012","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.3425","201.73","209,595","$42,281,599","42,281,599.35","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.3343","162.83","253,409","$41,262,587","41,262,587.47","Consumer Staples","2701271","US22160K1051","NASDAQ"
"EBAY","EBAY INC","Equity","0.3328","31.05","1,323,118","$41,082,814","41,082,813.90","Information Technology","2293819","US2786421030","NASDAQ"
"GD","GENERAL DYNAMICS CORP","Equity","0.3272","177.46","227,602","$40,390,251","40,390,250.92","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.3207","55.38","714,845","$39,588,116","39,588,116.10","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"WR","WESTAR ENERGY INC.","Equity","0.3186","54.68","719,238","$39,327,934","39,327,933.84","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.3169","118.92","328,916","$39,114,691","39,114,690.72","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.3034","117.19","319,548","$37,447,830","37,447,830.12","Financials","2965839","US12572Q1058","NASDAQ"
"PX","PRAXAIR INC","Equity","0.2927","116.20","310,971","$36,134,830","36,134,830.20","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.2676","51.30","643,795","$33,026,684","33,026,683.50","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.2648","70.95","460,683","$32,685,459","32,685,458.85","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.2623","63.05","513,549","$32,379,264","32,379,264.45","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.2623","144.35","224,291","$32,376,406","32,376,405.85","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"COO","COOPER COS.","Equity","0.2541","177.21","177,002","$31,366,524","31,366,524.42","Health Care","2222631","US2166484020","New York Stock Exchange Inc."
"AON","AON PLC","Equity","0.2520","114.35","272,072","$31,111,433","31,111,433.20","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.2478","92.02","332,429","$30,590,117","30,590,116.58","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.2474","70.30","434,339","$30,534,032","30,534,031.70","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"AWK","AMERICAN WATER WORKS INC","Equity","0.2401","72.84","406,805","$29,631,676","29,631,676.20","Utilities","B2R3PV1","US0304201033","New York Stock Exchange Inc."
"ARMK","ARAMARK","Equity","0.2400","34.92","848,254","$29,621,030","29,621,029.68","Consumer Discretionary","BH3XG17","US03852U1060","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.2368","104.04","280,973","$29,232,431","29,232,430.92","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.2329","86.48","332,466","$28,751,660","28,751,659.68","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.2318","25.65","1,115,418","$28,610,472","28,610,471.70","Information Technology","2302232","US1273871087","NASDAQ"
"DRI","DARDEN RESTAURANTS INC","Equity","0.2266","71.55","390,992","$27,975,478","27,975,477.60","Consumer Discretionary","2289874","US2371941053","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.2220","108.13","253,397","$27,399,818","27,399,817.61","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","0.2152","82.38","322,396","$26,558,982","26,558,982.48","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"WAT","WATER CORP CORP","Equity","0.2151","139.98","189,640","$26,545,807","26,545,807.20","Health Care","2937689","US9418481035","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.2047","108.98","231,826","$25,264,397","25,264,397.48","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.1963","36.34","666,644","$24,225,843","24,225,842.96","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.1934","75.78","314,950","$23,866,911","23,866,911.00","Financials","2196888","US1720621010","NASDAQ"
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.1857","281.78","81,338","$22,919,422","22,919,421.64","Consumer Discretionary","B65LWX6","US67103H1077","NASDAQ"
"CAG","CONAGRA BRANDS INC","Equity","0.1836","38.74","585,025","$22,663,869","22,663,868.50","Consumer Staples","2215460","US2058871029","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.1807","116.84","190,853","$22,299,265","22,299,264.52","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.1787","55.26","399,163","$22,057,747","22,057,747.38","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.1785","63.14","348,968","$22,033,840","22,033,839.52","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.1760","65.31","332,578","$21,720,669","21,720,669.18","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"HOLX","HOLOGIC INC.","Equity","0.1758","39.88","544,047","$21,696,594","21,696,594.36","Health Care","2433530","US4364401012","NASDAQ"
"DD","E I DU PONT DE NEMOURS","Equity","0.1599","73.38","268,887","$19,730,928","19,730,928.06","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"PDCO","PATTERSON COMPANIES INC","Equity","0.1558","42.43","453,156","$19,227,409","19,227,409.08","Health Care","2672689","US7033951036","NASDAQ"
"SBAC","SBA COMMUNICATIONS CORP CLASS A","Equity","0.1558","103.52","185,732","$19,226,977","19,226,976.64","Telecommunications","2429294","US78388J1060","NASDAQ"
"ZAYO","ZAYO GROUP HOLDINGS INC","Equity","0.1557","30.75","625,017","$19,219,273","19,219,272.75","Telecommunications","BRJ3H07","US98919V1052","New York Stock Exchange Inc."
"OMC","OMNICOM GROUP INC","Equity","0.1509","85.81","217,130","$18,631,925","18,631,925.30","Consumer Discretionary","2279303","US6819191064","New York Stock Exchange Inc."
"RMD","RESMED INC.","Equity","0.1499","62.14","297,802","$18,505,416","18,505,416.28","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING CO","Equity","0.1441","70.75","251,361","$17,783,791","17,783,790.75","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.1427","34.44","511,361","$17,611,273","17,611,272.84","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.1425","96.16","182,926","$17,590,164","17,590,164.16","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"APH","AMPHENOL CORP CLASS A","Equity","0.1424","68.08","258,118","$17,572,673","17,572,673.44","Information Technology","2145084","US0320951017","New York Stock Exchange Inc."
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.1397","104.96","164,332","$17,248,287","17,248,286.72","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.1362","55.36","303,629","$16,808,901","16,808,901.44","Consumer Staples","2429090","US7617131062","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.1283","1.00","15,840,875","$15,840,875","15,840,875.29","Cash and/or Derivatives","-","US0669224778","-"
"CVS","CVS HEALTH CORP","Equity","0.1253","82.20","188,188","$15,469,054","15,469,053.60","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
